"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.03.2021","127,60","130,10","130,60","127,45","15,77K","-1,92%"
"24.03.2021","126,50","128,20","128,80","126,50","19,14K","-0,86%"
"25.03.2021","126,60","127,00","127,55","125,20","19,49K","0,08%"
"26.03.2021","128,50","127,10","129,60","127,10","16,76K","1,50%"
"29.03.2021","127,05","128,35","128,40","126,20","14,23K","-1,13%"
"30.03.2021","122,60","126,55","127,05","122,45","26,45K","-3,50%"
"31.03.2021","123,50","123,00","124,75","120,50","30,04K","0,73%"
"01.04.2021","121,60","124,95","125,45","120,75","23,92K","-1,54%"
"05.04.2021","122,10","121,40","122,90","120,55","16,09K","0,41%"
"06.04.2021","126,85","122,50","127,30","121,35","31,61K","3,89%"
"07.04.2021","126,75","126,90","128,00","125,45","22,70K","-0,08%"
"08.04.2021","127,85","127,00","128,70","126,75","28,83K","0,87%"
"09.04.2021","127,25","127,90","128,85","127,00","26,96K","-0,47%"
"12.04.2021","128,10","127,00","129,10","125,75","23,95K","0,67%"
"13.04.2021","130,05","128,10","131,10","126,80","26,33K","1,52%"
"14.04.2021","132,10","130,25","133,15","130,20","18,26K","1,58%"
"15.04.2021","132,70","132,05","133,00","130,90","16,69K","0,45%"
"16.04.2021","129,15","132,90","133,45","128,85","11,39K","-2,68%"
"19.04.2021","129,85","129,40","131,55","129,05","9,48K","0,54%"
"20.04.2021","132,45","130,05","132,95","129,90","11,45K","2,00%"
"21.04.2021","132,20","132,65","133,35","130,65","11,57K","-0,19%"
"22.04.2021","134,30","132,90","134,50","130,00","0,24K","1,59%"
"23.04.2021","136,85","134,85","138,50","134,85","0,06K","1,90%"
"26.04.2021","141,75","136,65","142,35","136,50","0,03K","3,58%"
"27.04.2021","144,35","142,45","144,50","142,45","0,01K","1,83%"
"28.04.2021","144,30","144,00","144,95","142,40","0,01K","-0,03%"
"29.04.2021","141,40","145,80","145,80","141,35","0,02K","-2,01%"
"30.04.2021","139,95","143,90","143,90","143,90","0,01K","-1,03%"
"03.05.2021","138,75","139,90","140,35","138,85","0,02K","-0,86%"
"04.05.2021","138,90","139,35","139,35","139,00","0,01K","0,11%"
"05.05.2021","148,50","142,95","143,40","142,95","0,00K","6,91%"
"06.05.2021","153,50","149,00","149,50","149,00","0,00K","3,37%"
"07.05.2021","152,30","152,00","152,00","150,95","0,00K","-0,78%"
"10.05.2021","147,60","153,00","153,00","148,35","0,01K","-3,09%"
"11.05.2021","147,90","149,20","149,20","147,05","0,04K","0,20%"
"12.05.2021","145,75","147,65","147,65","147,65","0,00K","-1,45%"
"13.05.2021","145,65","145,78","147,88","143,88","-","-0,07%"
"14.05.2021","144,25","146,60","147,75","144,73","-","-0,96%"
"17.05.2021","145,00","146,00","146,00","146,00","0,01K","0,52%"
"18.05.2021","151,80","147,15","147,15","147,15","0,00K","4,69%"
"19.05.2021","150,95","152,80","153,30","149,25","16,27K","-0,56%"
"20.05.2021","150,95","151,15","153,65","150,40","14,91K","0,00%"
"21.05.2021","150,10","150,35","152,90","148,50","11,43K","-0,56%"
"24.05.2021","149,00","149,60","150,45","147,45","11,46K","-0,73%"
"25.05.2021","150,50","150,50","152,00","148,90","15,43K","1,01%"
"26.05.2021","155,70","150,40","156,75","150,15","22,60K","3,46%"
"27.05.2021","155,35","156,55","157,25","154,55","18,91K","-0,22%"
"28.05.2021","162,35","156,35","163,15","156,35","30,13K","4,51%"
"01.06.2021","161,05","162,00","166,75","159,30","32,56K","-0,80%"
"02.06.2021","161,15","161,70","165,35","160,30","18,95K","0,06%"
"03.06.2021","157,60","160,90","162,10","156,10","25,91K","-2,20%"
"04.06.2021","161,65","157,85","162,00","155,20","26,82K","2,57%"
"07.06.2021","160,15","161,80","163,60","158,90","31,18K","-0,93%"
"08.06.2021","157,70","160,30","161,95","157,20","30,12K","-1,53%"
"09.06.2021","157,20","157,70","159,60","155,85","27,10K","-0,32%"
"10.06.2021","158,70","158,05","159,30","156,65","34,67K","0,95%"
"11.06.2021","157,45","159,60","160,70","157,20","32,76K","-0,79%"
"14.06.2021","154,10","156,60","156,60","151,55","25,27K","-2,13%"
"15.06.2021","151,20","154,30","154,75","150,75","19,01K","-1,88%"
"16.06.2021","153,35","151,80","154,30","151,30","11,29K","1,42%"
"17.06.2021","149,55","152,55","152,65","148,80","9,83K","-2,48%"
"18.06.2021","149,90","149,65","151,00","147,05","10,93K","0,23%"
"21.06.2021","152,35","149,05","153,95","147,10","5,28K","1,63%"
"22.06.2021","151,25","153,70","153,85","150,25","0,31K","-0,72%"
"23.06.2021","153,15","152,15","152,60","151,90","0,16K","1,26%"
"24.06.2021","152,40","152,25","153,40","151,50","0,06K","-0,49%"
"25.06.2021","157,25","154,75","157,30","154,75","0,06K","3,18%"
"28.06.2021","162,25","158,50","163,20","157,70","0,04K","3,18%"
"29.06.2021","159,70","162,70","162,75","159,50","0,04K","-1,57%"
