"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.03.2021","60,79","64,30","64,30","60,27","392,60K","-5,93%"
"24.03.2021","64,41","60,50","64,57","60,47","255,12K","5,95%"
"25.03.2021","61,95","63,99","64,19","60,98","202,58K","-3,82%"
"26.03.2021","64,57","62,01","64,89","61,85","147,74K","4,23%"
"29.03.2021","64,98","64,58","65,46","63,13","91,75K","0,63%"
"30.03.2021","64,14","65,20","65,41","63,52","74,36K","-1,29%"
"31.03.2021","63,54","64,13","64,79","63,53","9,70K","-0,94%"
"01.04.2021","64,86","63,12","65,17","62,38","480,37K","2,08%"
"05.04.2021","62,15","64,57","64,81","61,25","231,78K","-4,18%"
"06.04.2021","62,74","62,32","64,28","62,08","307,87K","0,95%"
"07.04.2021","63,16","62,60","63,55","61,60","321,39K","0,67%"
"08.04.2021","63,20","63,02","63,43","62,38","265,18K","0,06%"
"09.04.2021","62,95","63,28","63,49","62,57","216,24K","-0,40%"
"12.04.2021","63,28","63,03","64,31","62,41","257,84K","0,52%"
"13.04.2021","63,67","63,24","64,19","63,18","242,41K","0,62%"
"14.04.2021","66,58","64,01","66,90","63,88","323,04K","4,57%"
"15.04.2021","66,94","66,38","67,03","65,95","240,31K","0,54%"
"16.04.2021","66,77","66,86","67,38","66,44","212,20K","-0,25%"
"19.04.2021","67,05","66,70","67,23","66,17","193,81K","0,42%"
"20.04.2021","66,57","67,20","68,08","65,51","328,24K","-0,72%"
"21.04.2021","65,32","66,22","66,52","64,96","260,88K","-1,88%"
"22.04.2021","65,40","65,13","65,83","64,58","242,47K","0,12%"
"23.04.2021","66,11","65,80","66,30","65,16","187,90K","1,09%"
"26.04.2021","65,65","66,10","66,26","64,57","257,58K","-0,70%"
"27.04.2021","66,42","65,76","66,80","65,66","222,92K","1,17%"
"28.04.2021","67,27","66,58","67,85","66,13","148,95K","1,28%"
"29.04.2021","68,56","67,18","68,95","67,13","91,52K","1,92%"
"30.04.2021","67,25","68,33","68,40","67,06","14,84K","-1,91%"
"03.05.2021","67,56","66,70","67,82","66,10","148,71K","0,46%"
"04.05.2021","68,88","67,75","69,50","67,37","249,64K","1,95%"
"05.05.2021","68,96","69,35","69,95","68,35","283,73K","0,12%"
"06.05.2021","68,09","68,47","69,37","67,93","273,28K","-1,26%"
"07.05.2021","68,28","68,26","68,65","67,39","262,58K","0,28%"
"10.05.2021","68,32","68,74","69,20","67,41","265,60K","0,06%"
"11.05.2021","68,55","68,29","68,75","67,13","321,86K","0,34%"
"12.05.2021","69,32","68,78","69,90","68,18","310,30K","1,12%"
"13.05.2021","67,05","68,88","69,04","66,48","312,00K","-3,27%"
"14.05.2021","68,71","67,00","68,89","66,50","286,13K","2,48%"
"17.05.2021","69,46","68,92","69,62","68,18","230,78K","1,09%"
"18.05.2021","68,71","69,61","70,24","67,28","378,02K","-1,08%"
"19.05.2021","66,66","68,41","68,46","65,30","386,89K","-2,98%"
"20.05.2021","65,11","66,63","67,17","64,80","388,16K","-2,33%"
"21.05.2021","66,44","65,22","66,94","64,57","257,64K","2,04%"
"24.05.2021","68,46","66,72","68,64","66,46","227,25K","3,04%"
"25.05.2021","68,65","68,47","68,90","67,83","183,13K","0,28%"
"26.05.2021","68,87","68,55","69,17","68,02","134,62K","0,32%"
"27.05.2021","69,46","68,78","69,51","68,11","86,51K","0,86%"
"28.05.2021","69,63","69,69","69,92","69,26","21,26K","0,24%"
"31.05.2021","69,32","68,98","69,82","68,75","80,18K","-0,45%"
"01.06.2021","70,25","69,39","71,34","69,29","302,49K","1,34%"
"02.06.2021","71,35","70,55","71,48","70,35","221,63K","1,57%"
"03.06.2021","71,31","71,27","71,99","70,66","229,79K","-0,06%"
"04.06.2021","71,89","71,25","72,17","70,73","222,00K","0,81%"
"07.06.2021","71,49","71,82","72,27","71,10","224,33K","-0,56%"
"08.06.2021","72,22","71,42","72,42","70,71","285,23K","1,02%"
"09.06.2021","72,22","72,17","72,87","71,82","266,37K","0,00%"
"10.06.2021","72,52","72,03","72,93","70,95","346,58K","0,42%"
"11.06.2021","72,69","72,41","73,09","71,88","276,48K","0,23%"
"14.06.2021","72,86","72,70","73,64","72,59","200,72K","0,23%"
"15.06.2021","73,99","73,03","74,33","72,79","228,62K","1,55%"
"16.06.2021","74,39","74,26","74,96","73,86","306,09K","0,54%"
"17.06.2021","73,08","73,80","74,50","72,01","336,64K","-1,76%"
"18.06.2021","73,51","73,00","73,76","72,18","231,55K","0,59%"
"21.06.2021","74,90","73,33","74,95","72,98","265,47K","1,89%"
"22.06.2021","74,81","74,88","75,30","74,32","294,72K","-0,12%"
"23.06.2021","75,19","74,75","76,02","74,70","229,04K","0,51%"
"24.06.2021","75,56","75,30","75,78","74,51","165,05K","0,49%"
"25.06.2021","76,18","75,54","76,21","74,95","172,41K","0,82%"
"28.06.2021","74,68","75,99","76,60","74,51","142,11K","-1,97%"
"29.06.2021","74,76","74,67","75,51","73,90","94,94K","0,11%"
"30.06.2021","75,13","75,18","75,60","74,39","15,06K","0,49%"
"01.07.2021","75,84","74,69","76,74","74,55","405,16K","0,95%"
"02.07.2021","76,17","75,64","76,43","75,21","236,22K","0,44%"
"05.07.2021","77,16","76,23","77,26","75,70","157,22K","1,30%"
"06.07.2021","74,53","77,06","77,84","74,13","410,70K","-3,41%"
"07.07.2021","73,43","74,69","75,99","72,60","387,43K","-1,48%"
"08.07.2021","74,12","73,35","74,40","72,11","314,34K","0,94%"
"09.07.2021","75,55","74,39","75,80","73,80","248,18K","1,93%"
"12.07.2021","75,16","75,79","75,84","74,23","262,30K","-0,52%"
"13.07.2021","76,49","75,25","76,60","74,93","275,91K","1,77%"
"14.07.2021","74,76","76,28","76,72","73,79","376,94K","-2,26%"
"15.07.2021","73,47","74,50","74,59","73,19","322,33K","-1,73%"
"16.07.2021","73,59","73,18","74,09","72,34","292,66K","0,16%"
"19.07.2021","68,62","72,86","73,34","67,75","510,92K","-6,75%"
